                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.95005,                0.78914,                 1.1035,                0.76843,                 0.7236,                0.74958,                0.46648,                 1.2619,                0.98363,                 1.3092,               0.000948,               0.000948,               0.000948
                     36,                0.93979,                0.78216,                   1.08,                0.76878,                0.73417,                0.76371,                0.48681,                 1.2812,                0.89253,                 1.3267,             0.00093385,             0.00093385,             0.00093385
                     37,                0.94192,                0.78801,                 1.0697,                0.83909,                0.70659,                0.78425,                0.49341,                 1.2067,                0.90236,                 1.2767,              0.0009197,              0.0009197,              0.0009197
                     38,                0.92045,                0.75736,                 1.0773,                0.78356,                0.69348,                0.77152,                 0.4769,                 1.2629,                 0.9487,                 1.3025,             0.00090556,             0.00090556,             0.00090556
                     39,                0.92945,                0.73933,                 1.0804,                0.76525,                0.70317,                0.76697,                0.49466,                 1.2273,                0.92603,                 1.2958,             0.00089141,             0.00089141,             0.00089141
                     40,                0.92493,                0.72423,                 1.0624,                0.85669,                0.69581,                0.78225,                0.49701,                 1.2976,                0.91396,                 1.3244,             0.00087726,             0.00087726,             0.00087726
                     41,                 0.9061,                0.70819,                 1.0481,                0.78029,                0.73793,                0.77259,                0.48913,                 1.2765,                0.95982,                 1.2873,             0.00086312,             0.00086312,             0.00086312
                     42,                0.88823,                0.69166,                 1.0334,                0.84063,                0.71538,                0.77469,                0.49196,                 1.2642,                0.92148,                 1.3048,             0.00084897,             0.00084897,             0.00084897
                     43,                0.85872,                0.68119,                 1.0422,                0.85048,                0.70369,                0.77847,                0.49771,                 1.2437,                0.87583,                 1.2902,             0.00083482,             0.00083482,             0.00083482
                     44,                0.87079,                0.68768,                  1.036,                0.79832,                0.70497,                 0.7818,                0.51468,                 1.2372,                0.87212,                 1.2773,             0.00082067,             0.00082067,             0.00082067
                     45,                 0.8396,                0.67256,                 1.0278,                0.82064,                0.71251,                0.77309,                0.48234,                   1.26,                0.89717,                 1.3231,             0.00080653,             0.00080653,             0.00080653
                     46,                0.87116,                 0.6983,                 1.0495,                 0.7321,                0.75412,                0.76892,                0.49255,                   1.24,                 0.9069,                 1.2892,             0.00079238,             0.00079238,             0.00079238
                     47,                0.84355,                0.66171,                 1.0342,                0.77387,                0.72734,                0.76956,                0.49994,                 1.2471,                 0.9197,                 1.2907,             0.00077823,             0.00077823,             0.00077823
                     48,                0.84226,                0.65901,                 1.0309,                0.75543,                0.80898,                0.77768,                0.50795,                 1.2179,                0.84507,                 1.2828,             0.00076409,             0.00076409,             0.00076409
                     49,                 0.8257,                0.65127,                 1.0263,                0.78208,                0.77065,                0.79246,                0.51664,                 1.2237,                0.83227,                  1.261,             0.00074994,             0.00074994,             0.00074994
                     50,                0.84179,                0.66929,                 1.0334,                0.79659,                0.77385,                 0.7863,                0.50705,                 1.2075,                0.85674,                 1.2539,             0.00073579,             0.00073579,             0.00073579
                     51,                0.84199,                0.65278,                 1.0306,                0.82781,                0.71879,                0.78808,                0.50866,                 1.2393,                0.84853,                  1.306,             0.00072164,             0.00072164,             0.00072164
                     52,                0.79374,                0.62014,                 1.0231,                0.86507,                0.70686,                0.79545,                0.51174,                 1.2485,                0.83411,                 1.2814,              0.0007075,              0.0007075,              0.0007075
                     53,                0.79926,                0.61619,                 1.0021,                0.81523,                0.70542,                0.77992,                0.51187,                 1.2294,                0.90207,                 1.2765,             0.00069335,             0.00069335,             0.00069335
                     54,                0.81191,                0.61364,                 1.0067,                0.79547,                0.75037,                0.79072,                0.51796,                 1.2216,                0.84136,                 1.2639,              0.0006792,              0.0006792,              0.0006792
